,Город,Регион,Население,Год переписи
426,Когалым,Ханты-Мансийский АО,61 441 ,2021
518,Лангепас,Ханты-Мансийский АО,42 701 ,2021
550,Лянтор,Ханты-Мансийский АО,40 977 ,2021
572,Мегион,Ханты-Мансийский АО,52 887 ,2021
641,Нефтеюганск,Ханты-Мансийский АО,124 732 ,2021
643,Нижневартовск,Ханты-Мансийский АО,283 256 ,2021
693,Нягань,Ханты-Мансийский АО,63 034 ,2021
762,Покачи,Ханты-Мансийский АО,16 040 ,2021
794,Пыть-Ях,Ханты-Мансийский АО,40 180 ,2021
797,Радужный,Ханты-Мансийский АО,43 577 ,2021
929,Сургут,Ханты-Мансийский АО,396 443 ,2021
997,Урай,Ханты-Мансийский АО,41 315 ,2021
1096,Югорск,Ханты-Мансийский АО,38 238 ,2021
884,Советский,Ханты-Мансийский АО — Югра,31 138 ,2021
56,Аша,Челябинская область,27 890 ,2021
63,Бакал,Челябинская область,16 345 ,2021
152,Верхнеуральск,Челябинская область,8929 ,2021
154,Верхний Уфалей,Челябинская область,22 981 ,2021
281,Еманжелинск,Челябинская область,27 632 ,2021
324,Златоуст,Челябинская область,161 774 ,2021
376,Карабаш,Челябинская область,10 514 ,2021
384,Карталы,Челябинская область,27 103 ,2021
386,Касли,Челябинская область,15 383 ,2021
388,Катав-Ивановск,Челябинская область,14 663 ,2021
443,Копейск,Челябинская область,147 806 ,2021
446,Коркино,Челябинская область,37 224 ,2021
507,Куса,Челябинская область,17136 ,2021
510,Кыштым,Челябинская область,36 045 ,2021
553,Магнитогорск,Челябинская область,410 594 ,2021
584,Миасс,Челябинская область,147 995 ,2021
589,Миньяр,Челябинская область,8500 ,2021
694,Нязепетровск,Челябинская область,10 379 ,2021
702,Озёрск,Челябинская область,76 896 ,2021
757,Пласт,Челябинская область,18 379 ,2021
833,Сатка,Челябинская область,42 597 ,2021
866,Сим,Челябинская область,12 858 ,2021
877,Снежинск,Челябинская область,50 619 ,2021
973,Трёхгорный,Челябинская область,32 463 ,2021
974,Троицк,Челябинская область,70 301 ,2021
1009,Усть-Катав,Челябинская область,21 439 ,2021
1043,Чебаркуль,Челябинская область,44 693 ,2021
1100,Южноуральск,Челябинская область,37 478 ,2021
1104,Юрюзань,Челябинская область,10 284 ,2021
36,Аргун,Чечня,41 622 ,2021
55,Ачхой-Мартан,Чечня,30 739 ,2021
229,Гудермес,Чечня,64 376 ,2021
505,Курчалой,Чечня,23 425 ,2021
1000,Урус-Мартан,Чечня,63 449 ,2021
1068,Шали,Чечня,55 054 ,2021
13,Алатырь,Чувашия,32 265 ,2021
372,Канаш,Чувашия,44 354 ,2021
429,Козловка,Чувашия,7781 ,2021
568,Мариинский Посад,Чувашия,7851 ,2021
681,Новочебоксарск,Чувашия,120 375 ,2021
1036,Цивильск,Чувашия,12 762 ,2021
1082,Шумерля,Чувашия,26 873 ,2021
1106,Ядрин,Чувашия,7918 ,2021
14,Алдан,Якутия,21 590 ,2021
163,Вилюйск,Якутия,10 032 ,2021
524,Ленск,Якутия,21 392 ,2021
590,Мирный,Якутия,34 045 ,2021
636,Нерюнгри,Якутия,53 409 ,2021
692,Нюрба,Якутия,10 138 ,2021
707,Олёкминск,Якутия,8398 ,2021
764,Покровск,Якутия,12 021 ,2021
906,Среднеколымск,Якутия,3131 ,2021
966,Томмот,Якутия,6440 ,2021
990,Удачный,Якутия,12 930 ,2021
228,Губкинский,Ямало-Ненецкий АО,33 273 ,2021
513,Лабытнанги,Ямало-Ненецкий АО,25 501 ,2021
606,Муравленко,Ямало-Ненецкий АО,29 233 ,2021
618,Надым,Ямало-Ненецкий АО,45 973 ,2021
685,Новый Уренгой,Ямало-Ненецкий АО,107 251 ,2021
689,Ноябрьск,Ямало-Ненецкий АО,100 188 ,2021
948,Тарко-Сале,Ямало-Ненецкий АО,19 900 ,2021
200,Гаврилов-Ям,Ярославская область,16 084 ,2021
242,Данилов,Ярославская область,13 677 ,2021
548,Любим,Ярославская область,5037 ,2021
614,Мышкин,Ярославская область,5621 ,2021
741,Переславль-Залесский,Ярославская область,37 738 ,2021
775,Пошехонье,Ярославская область,5150 ,2021
809,Ростов,Ярославская область,28 122 ,2021
816,Рыбинск,Ярославская область,177 295 ,2021
982,Тутаев,Ярославская область,39 643 ,2021
989,Углич,Ярославская область,32 719 ,2021
6,Адыгейск,Адыгея,13 191 ,2023
554,Майкоп,Адыгея,139 687 ,2023
213,Горно-Алтайск,Алтай,64 957 ,2023
73,Барнаул,Алтайский край,623 057 ,2023
109,Благовещенск,Амурская область,240 572 ,2023
48,Архангельск,Архангельская область,298 617 ,2023
51,Астрахань,Астраханская область,468 842 ,2023
1013,Уфа,Башкортостан,1 157 994 ,2023
80,Белгород,Белгородская область,333 931 ,2023
133,Брянск,Брянская область,375 669 ,2023
994,Улан-Удэ,Бурятия,436 138 ,2023
169,Владимир,Владимирская область,346 771 ,2023
170,Волгоград,Волгоградская область,1 025 662 ,2023
87,Белозерск,Вологодская область,8183 ,2023
147,Великий Устюг,Вологодская область,28 266 ,2023
175,Вологда,Вологодская область,311 628 ,2023
193,Вытегра,Вологодская область,10 292 ,2023
225,Грязовец,Вологодская область,14 424 ,2023
352,Кадников,Вологодская область,4022 ,2023
408,Кириллов,Вологодская область,7069 ,2023
461,Красавино,Вологодская область,5460 ,2023
654,Никольск,Вологодская область,7607 ,2023
885,Сокол,Вологодская область,34 298 ,2023
972,Тотьма,Вологодская область,8647 ,2023
1012,Устюжна,Вологодская область,7653 ,2023
1028,Харовск,Вологодская область,8361 ,2023
1051,Череповец,Вологодская область,301 040 ,2023
183,Воронеж,Воронежская область,1 051 995 ,2023
570,Махачкала,Дагестан,622 660 ,2023
104,Биробиджан,Еврейская АО,68 536 ,2023
1060,Чита,Забайкальский край,333 679 ,2023
331,Иваново,Ивановская область,360 687 ,2023
552,Магас,Ингушетия,16 931 ,2023
345,Иркутск,Иркутская область,611 215 ,2023
622,Нальчик,Кабардино-Балкария,245 961 ,2023
357,Калининград,Калининградская область,489 735 ,2023
1093,Элиста,Калмыкия,102 428 ,2023
65,Балабаново,Калужская область,30 194 ,2023
93,Белоусово,Калужская область,10 980 ,2023
129,Боровск,Калужская область,12 686 ,2023
284,Ермолино,Калужская область,11 189 ,2023
294,Жиздра,Калужская область,5433 ,2023
296,Жуков,Калужская область,15 656 ,2023
360,Калуга,Калужская область,333 954 ,2023
410,Киров,Калужская область,27 661 ,2023
428,Козельск,Калужская область,16 603 ,2023
441,Кондрово,Калужская область,15 734 ,2023
482,Кремёнки,Калужская область,11 637 ,2023
549,Людиново,Калужская область,35 275 ,2023
563,Малоярославец,Калужская область,41 511 ,2023
575,Медынь,Калужская область,8042 ,2023
583,Мещовск,Калужская область,3722 ,2023
604,Мосальск,Калужская область,4251 ,2023
895,Сосенский,Калужская область,11 259 ,2023
901,Спас-Деменск,Калужская область,4592 ,2023
933,Сухиничи,Калужская область,14 407 ,2023
949,Таруса,Калужская область,9791 ,2023
1105,Юхнов,Калужская область,6470 ,2023
748,Петропавловск-Камчатский,Камчатский край,162 992 ,2023
1052,Черкесск,Карачаево-Черкесия,112 789 ,2023
89,Беломорск,Карелия,7407 ,2023
395,Кемь,Карелия,9712 ,2023
440,Кондопога,Карелия,25 295 ,2023
452,Костомукша,Карелия,25 928 ,2023
519,Лахденпохья,Карелия,5855 ,2023
573,Медвежьегорск,Карелия,11 577 ,2023
709,Олонец,Карелия,7631 ,2023
747,Петрозаводск,Карелия,235 793 ,2023
755,Питкяранта,Карелия,8094 ,2023
788,Пудож,Карелия,7207 ,2023
852,Сегежа,Карелия,23 074 ,2023
894,Сортавала,Карелия,14 787 ,2023
927,Суоярви,Карелия,6819 ,2023
394,Кемерово,Кемеровская область,549 362 ,2023
411,Киров,Кировская область,471 754 ,2023
936,Сыктывкар,Коми,220 042 ,2023
453,Кострома,Костромская область,265 959 ,2023
466,Краснодар,Краснодарский край,1 121 291 ,2023
478,Красноярск,Красноярский край,1 196 913 ,2023
498,Курган,Курганская область,305 505 ,2023
503,Курск,Курская область,434 703 ,2023
118,Бокситогорск,Ленинградская область,15 674 ,2023
178,Волосово,Ленинградская область,11 647 ,2023
179,Волхов,Ленинградская область,37 955 ,2023
187,Всеволожск,Ленинградская область,78 849 ,2023
189,Выборг,Ленинградская область,71 772 ,2023
192,Высоцк,Ленинградская область,1122 ,2023
205,Гатчина,Ленинградская область,92 684 ,2023
330,Ивангород,Ленинградская область,9679 ,2023
364,Каменногорск,Ленинградская область,7068 ,2023
402,Кингисепп,Ленинградская область,49 005 ,2023
409,Кириши,Ленинградская область,50 346 ,2023
414,Кировск,Ленинградская область,27 089 ,2023
436,Коммунар,Ленинградская область,25 754 ,2023
489,Кудрово,Ленинградская область,64 904 ,2023
536,Лодейное Поле,Ленинградская область,18 677 ,2023
538,Луга,Ленинградская область,37 536 ,2023
546,Любань,Ленинградская область,4431 ,2023
608,Мурино,Ленинградская область,104 611 ,2023
656,Никольское,Ленинградская область,21 863 ,2023
657,Новая Ладога,Ленинградская область,7239 ,2023
725,Отрадное,Ленинградская область,25 402 ,2023
753,Пикалёво,Ленинградская область,20 169 ,2023
761,Подпорожье,Ленинградская область,15 779 ,2023
779,Приморск,Ленинградская область,6393 ,2023
781,Приозерск,Ленинградская область,18 526 ,2023
840,Светогорск,Ленинградская область,13 535 ,2023
864,Сертолово,Ленинградская область,70 921 ,2023
873,Сланцы,Ленинградская область,34 113 ,2023
898,Сосновый Бор,Ленинградская область,64 121 ,2023
939,Сясьстрой,Ленинградская область,12 417 ,2023
960,Тихвин,Ленинградская область,54 286 ,2023
971,Тосно,Ленинградская область,32 961 ,2023
1081,Шлиссельбург,Ленинградская область,13 918 ,2023
531,Липецк,Липецкая область,490 428 ,2023
551,Магадан,Магаданская область,89 834 ,2023
932,Сусуман,Магаданская область,4297 ,2023
173,Волжск,Марий Эл,52 164 ,2023
314,Звенигово,Марий Эл,10 822 ,2023
351,Йошкар-Ола,Марий Эл,283 469 ,2023
430,Козьмодемьянск,Марий Эл,19 355 ,2023
828,Саранск,Мордовия,312 252 ,2023
605,Москва,Москва,13 104 177 ,2023
33,Апрелевка,Московская область,37 137 ,2023
68,Балашиха,Московская область,526 851 ,2023
90,Белоозёрский,Московская область,13 571 ,2023
132,Бронницы,Московская область,21 294 ,2023
151,Верея,Московская область,4937 ,2023
162,Видное,Московская область,103 957,2023
177,Волоколамск,Московская область,26 181 ,2023
185,Воскресенск,Московская область,95 037 ,2023
191,Высоковск,Московская область,13 032 ,2023
211,Голицыно,Московская область,22 908 ,2023
245,Дедовск,Московская область,30 652 ,2023
251,Дзержинский,Московская область,57 700 ,2023
256,Дмитров,Московская область,64 307 ,2023
260,Долгопрудный,Московская область,119 957 ,2023
262,Домодедово,Московская область,155 421 ,2023
266,Дрезна,Московская область,12 246 ,2023
267,Дубна,Московская область,74 193 ,2023
274,Егорьевск,Московская область,71 322 ,2023
298,Жуковский,Московская область,110 507 ,2023
310,Зарайск,Московская область,20 419 ,2023
315,Звенигород,Московская область,37 154 ,2023
332,Ивантеевка,Московская область,83 725 ,2023
348,Истра,Московская область,36 085 ,2023
392,Кашира,Московская область,45 231 ,2023
420,Клин,Московская область,88 525 ,2023
433,Коломна,Московская область,133 019 ,2023
447,Королёв,Московская область,226 936 ,2023
454,Котельники,Московская область,68 758 ,2023
462,Красноармейск,Московская область,26 583 ,2023
465,Красногорск,Московская область,188 850 ,2023
467,Краснозаводск,Московская область,14 432 ,2023
469,Краснознаменск,Московская область,44 402 ,2023
486,Кубинка,Московская область,23 303 ,2023
502,Куровское,Московская область,19 803 ,2023
530,Ликино-Дулёво,Московская область,34 013 ,2023
535,Лобня,Московская область,81 968 ,2023
537,Лосино-Петровский,Московская область,29 264 ,2023
541,Луховицы,Московская область,29 845 ,2023
544,Лыткарино,Московская область,66 079 ,2023
547,Люберцы,Московская область,230 134 ,2023
598,Можайск,Московская область,30 151 ,2023
613,Мытищи,Московская область,266 446 ,2023
624,Наро-Фоминск,Московская область,73 163 ,2023
686,Ногинск,Московская область,102 205 ,2023
700,Одинцово,Московская область,186 172 ,2023
703,Озёры,Московская область,23 966 ,2023
716,Орехово-Зуево,Московская область,105 542 ,2023
732,Павловский Посад,Московская область,65 142 ,2023
740,Пересвет,Московская область,11 571 ,2023
760,Подольск,Московская область,312 400 ,2023
784,Протвино,Московская область,36 985 ,2023
791,Пушкино,Московская область,111 738 ,2023
792,Пущино,Московская область,19 392 ,2023
799,Раменское,Московская область,114 000 ,2023
803,Реутов,Московская область,113 140 ,2023
810,Рошаль,Московская область,21 042 ,2023
814,Руза,Московская область,15 703 ,2023
860,Сергиев Посад,Московская область,99 224 ,2023
863,Серпухов,Московская область,133 646 ,2023
888,Солнечногорск,Московская область,48 489 ,2023
910,Старая Купавна,Московская область,23 102 ,2023
920,Ступино,Московская область,63 820 ,2023
944,Талдом,Московская область,17 099 ,2023
1022,Фрязино,Московская область,59 606 ,2023
1032,Химки,Московская область,257 006 ,2023
1035,Хотьково,Московская область,20 515 ,2023
1054,Черноголовка,Московская область,19 027 ,2023
1058,Чехов,Московская область,87 039 ,2023
1071,Шатура,Московская область,37 294 ,2023
1087,Щёлково,Московская область,135 509 ,2023
1090,Электрогорск,Московская область,29 930 ,2023
1091,Электросталь,Московская область,143 182 ,2023
1092,Электроугли,Московская область,17 830 ,2023
1117,Яхрома,Московская область,13 764 ,2023
32,Апатиты,Мурманская область,48 748 ,2023
202,Гаджиево,Мурманская область,9088 ,2023
307,Заозёрск,Мурманская область,7760 ,2023
309,Заполярный,Мурманская область,14 231 ,2023
373,Кандалакша,Мурманская область,28 438 ,2023
415,Кировск,Мурманская область,24 271 ,2023
423,Ковдор,Мурманская область,15 423 ,2023
431,Кола,Мурманская область,8933 ,2023
601,Мончегорск,Мурманская область,39 477 ,2023
609,Мурманск,Мурманская область,267 422 ,2023
708,Оленегорск,Мурманская область,20 875 ,2023
723,Островной,Мурманская область,1412 ,2023
768,Полярные Зори,Мурманская область,14 078 ,2023
769,Полярный,Мурманская область,12 154 ,2023
848,Североморск,Мурманская область,43 394 ,2023
878,Снежногорск,Мурманская область,10 023,2023
626,Нарьян-Мар,Ненецкий АО,23 579 ,2023
39,Арзамас,Нижегородская область,103 997 ,2023
125,Бор,Нижегородская область,77 582 ,2023
250,Дзержинск,Нижегородская область,216 598 ,2023
485,Кстово,Нижегородская область,62 208 ,2023
648,Нижний Новгород,Нижегородская область,1 203 477 ,2023
831,Саров,Нижегородская область,93 721 ,2023
146,Великий Новгород,Новгородская область,223 191 ,2023
673,Новосибирск,Новосибирская область,1 635 338 ,2023
710,Омск,Омская область,1 110 836 ,2023
715,Оренбург,Оренбургская область,539 236 ,2023
714,Орёл,Орловская область,296 633 ,2023
736,Пенза,Пензенская область,492 376 ,2023
742,Пермь,Пермский край,1 027 153 ,2023
43,Арсеньев,Приморский край,47 306 ,2023
167,Владивосток,Приморский край,597 237 ,2023
527,Лесозаводск,Приморский край,34 967 ,2023
904,Спасск-Дальний,Приморский край,35 096 ,2023
786,Псков,Псковская область,189 315 ,2023
808,Ростов-на-Дону,Ростовская область,1 135 968 ,2023
820,Рязань,Рязанская область,523 203 ,2023
826,Самара,Самарская область,1 163 645 ,2023
827,Санкт-Петербург,Санкт-Петербург,5 600 044 ,2023
830,Саратов,Саратовская область,891 898 ,2023
629,Невельск,Сахалинская область,10 528 ,2023
770,Поронайск,Сахалинская область,15 953 ,2023
1098,Южно-Сахалинск,Сахалинская область,180 467 ,2023
276,Екатеринбург,Свердловская область,1 539 371 ,2023
844,Севастополь,Севастополь,558 273 ,2023
168,Владикавказ,Северная Осетия,292 886 ,2023
876,Смоленск,Смоленская область,312 896 ,2023
110,Благодарный,Ставропольский край,30 713 ,2023
136,Будённовск,Ставропольский край,57 121 ,2023
209,Георгиевск,Ставропольский край,62 036 ,2023
286,Ессентуки,Ставропольский край,121 534 ,2023
288,Железноводск,Ставропольский край,22418 ,2023
337,Изобильный,Ставропольский край,38 177 ,2023
343,Ипатово,Ставропольский край,25 682 ,2023
419,Кисловодск,Ставропольский край,126 674 ,2023
525,Лермонтов,Ставропольский край,22 887 ,2023
587,Минеральные Воды,Ставропольский край,69 569 ,2023
595,Михайловск,Ставропольский край,112 793 ,2023
630,Невинномысск,Ставропольский край,115 826 ,2023
640,Нефтекумск,Ставропольский край,23 075 ,2023
659,Новоалександровск,Ставропольский край,26 410 ,2023
670,Новопавловск,Ставропольский край,20 595 ,2023
795,Пятигорск,Ставропольский край,144 955 ,2023
838,Светлоград,Ставропольский край,35 196 ,2023
909,Ставрополь,Ставропольский край,550 147 ,2023
946,Тамбов,Тамбовская область,258 546 ,2023
353,Казань,Татарстан,1 314 685 ,2023
952,Тверь,Тверская область,414 756 ,2023
967,Томск,Томская область,551 505 ,2023
978,Тула,Тульская область,466 609 ,2023
509,Кызыл,Тыва,128 129 ,2023
986,Тюмень,Тюменская область,855 618 ,2023
335,Ижевск,Удмуртия,620 591 ,2023
995,Ульяновск,Ульяновская область,613 334 ,2023
438,Комсомольск-на-Амуре,Хабаровский край,236 158 ,2023
1024,Хабаровск,Хабаровский край,617 168 ,2023
1,Абакан,Хакасия,185 348 ,2023
1026,Ханты-Мансийск,Ханты-Мансийский АО — Югра,109 745 ,2023
1047,Челябинск,Челябинская область,1 182 517 ,2023
223,Грозный,Чечня,331 402,2023
1044,Чебоксары,Чувашия,496 238 ,2023
26,Анадырь,Чукотский АО,12 998 ,2023
103,Билибино,Чукотский АО,5409 ,2023
735,Певек,Чукотский АО,4230 ,2023
159,Верхоянск,Якутия,768 ,2023
1107,Якутск,Якутия,361 154 ,2023
824,Салехард,Ямало-Ненецкий АО,48 619 ,2023
1113,Ярославль,Ярославская область,570 824 ,2023
